Classes	film	nature	music	athletics	video_game	economics	war	infrastructure_transport	politics	populated_areas	architecture
aa	0.00048	0.00613	0.00876	0.01569	0.00672	0.00602	0.00663	0.69199	0.00154	0.00012	0.00291
aaa	0.00978	0.01895	0.10831	0.00645	0.00685	0.17979	0.00685	0.00911	0.22939	0.00052	0.01301
aaron	0.00182	0.44077	0.11108	0.00409	0.00164	0.00798	0.01033	0.00444	0.04394	0.00031	0.01211
ab	0.00269	0.00910	0.00885	0.00471	0.00239	0.03251	0.06043	0.00056	0.76633	0.00069	0.00657
aba	0.00316	0.06303	0.03218	0.04246	0.00731	0.13331	0.00886	0.00262	0.22237	0.00045	0.01786
abandon	0.00462	0.04920	0.02973	0.00464	0.00313	0.05071	0.04925	0.01825	0.17142	0.00167	0.03123
abandoned	0.00496	0.01877	0.00084	0.00154	0.00237	0.00635	0.01394	0.47151	0.00216	0.00047	0.17946
abandoning	0.01087	0.02804	0.02486	0.00217	0.00398	0.11553	0.00964	0.00451	0.48474	0.00085	0.02835
abandonment	0.00207	0.05378	0.00134	0.00113	0.00102	0.01030	0.00597	0.59584	0.00369	0.00056	0.09457
abbas	0.01059	0.00678	0.01250	0.00174	0.00334	0.06602	0.00884	0.00255	0.62854	0.00045	0.01534
abbey	0.00853	0.00689	0.00303	0.00183	0.00114	0.01706	0.00203	0.00673	0.00381	0.00036	0.88023
abbot	0.00491	0.00677	0.00300	0.00158	0.00149	0.02012	0.00326	0.00388	0.01291	0.00024	0.89014
abbott	0.00193	0.80764	0.00723	0.00420	0.00084	0.01194	0.00464	0.03714	0.00601	0.00030	0.03808
abbreviated	0.00190	0.03231	0.01226	0.00814	0.00170	0.01854	0.41875	0.00211	0.19863	0.00071	0.02153
abbreviation	0.00200	0.03042	0.01249	0.00802	0.00168	0.01942	0.42226	0.00197	0.20214	0.00070	0.02185
abc	0.86553	0.01149	0.00342	0.00101	0.00052	0.00644	0.01066	0.00252	0.00386	0.00042	0.00369
abd	0.00679	0.00942	0.02144	0.00539	0.00429	0.09161	0.03468	0.00538	0.37434	0.00065	0.05631
abdomen	0.00152	0.99782	0.00024	0.00091	0.00020	0.00070	0.00110	0.00397	0.00038	0.00007	0.00258
abdominal	0.00133	0.99121	0.00050	0.00234	0.00024	0.00166	0.00110	0.00730	0.00090	0.00008	0.00962
abducted	0.00411	0.09388	0.02738	0.00446	0.00220	0.01443	0.12304	0.01417	0.07258	0.00103	0.00850
abduction	0.04875	0.05267	0.02193	0.00140	0.00126	0.01487	0.16437	0.00680	0.07037	0.00111	0.01131
abdul	0.00675	0.01137	0.01989	0.00414	0.00601	0.09918	0.00540	0.00277	0.63816	0.00045	0.01263
abdullah	0.00689	0.01128	0.01778	0.00332	0.00646	0.10224	0.00690	0.00315	0.62175	0.00046	0.01409
abe	0.00173	0.97527	0.00101	0.00347	0.00036	0.00220	0.00686	0.00690	0.00268	0.00011	0.01515
abel	0.01081	0.01549	0.03156	0.00429	0.00847	0.19214	0.00723	0.00327	0.41012	0.00067	0.01777
aberdeen	0.00410	0.03835	0.07279	0.00696	0.00354	0.15227	0.02476	0.03964	0.10058	0.00107	0.04155
abilities	0.03517	0.00764	0.00406	0.01143	0.29267	0.00485	0.00814	0.00303	0.00942	0.00035	0.00601
ability	0.00507	0.62721	0.00719	0.00711	0.00161	0.00583	0.02730	0.02443	0.00996	0.00033	0.01154
able	0.00353	0.15637	0.03028	0.00969	0.00295	0.02300	0.03544	0.03002	0.05094	0.00072	0.03218
abnormal	0.00212	0.96491	0.00089	0.00227	0.00044	0.00254	0.00157	0.01877	0.00131	0.00014	0.01849
aboard	0.00119	0.01266	0.00071	0.00111	0.00216	0.00586	0.03369	0.85715	0.00120	0.00023	0.00563
abolish	0.00664	0.00533	0.00607	0.00097	0.00256	0.04862	0.00287	0.00093	0.89079	0.00035	0.00524
abolished	0.00443	0.00275	0.00705	0.00074	0.00122	0.06833	0.00309	0.00080	0.88862	0.00045	0.00528
abolition	0.00424	0.00453	0.00625	0.00084	0.00209	0.04337	0.00280	0.00070	0.90814	0.00044	0.00520
abolitionist	0.00453	0.04173	0.00827	0.00139	0.00191	0.02360	0.01367	0.00115	0.75979	0.00183	0.01637
aboriginal	0.00318	0.96261	0.00097	0.00192	0.00070	0.00436	0.00374	0.01402	0.00296	0.00018	0.01300
aborted	0.00118	0.01034	0.00097	0.00085	0.00238	0.00231	0.00663	0.94520	0.00066	0.00020	0.01081
abortion	0.01180	0.01666	0.01594	0.00144	0.00440	0.07362	0.00364	0.00267	0.74986	0.00075	0.00952
about	0.00766	0.81603	0.00200	0.00166	0.00088	0.00719	0.01061	0.03081	0.00364	0.00032	0.03113
above	0.00176	0.96973	0.00060	0.00166	0.00044	0.00191	0.00217	0.01273	0.00129	0.00014	0.02059
abraham	0.00490	0.09035	0.02080	0.00643	0.00801	0.10672	0.01416	0.00709	0.24452	0.00163	0.08477
abroad	0.01810	0.01528	0.03303	0.00220	0.00300	0.26617	0.00690	0.00278	0.38955	0.00091	0.01942
abrupt	0.00358	0.40014	0.09404	0.00309	0.00082	0.01053	0.01191	0.00525	0.03938	0.00037	0.01794
abruptly	0.00322	0.83966	0.00128	0.00256	0.00091	0.00799	0.00692	0.04816	0.00315	0.00031	0.04172
abs	0.00294	0.02544	0.01009	0.00544	0.00195	0.02931	0.16102	0.00091	0.61644	0.00075	0.00982
absence	0.00341	0.53250	0.02945	0.00533	0.00193	0.00987	0.01087	0.00516	0.07903	0.00047	0.02791
absent	0.00704	0.93706	0.00130	0.00152	0.00046	0.00191	0.00526	0.01453	0.00173	0.00011	0.00953
absolute	0.00929	0.02362	0.04323	0.00346	0.00795	0.10166	0.00454	0.00378	0.55159	0.00071	0.01800
absolutely	0.00224	0.71923	0.04663	0.00360	0.00096	0.00812	0.00870	0.00347	0.03468	0.00032	0.01736
absorb	0.00410	0.62054	0.00065	0.00224	0.00098	0.00423	0.00952	0.09337	0.00241	0.00029	0.12472
absorbed	0.00345	0.00269	0.01156	0.00259	0.00252	0.72165	0.00455	0.00217	0.06430	0.00036	0.00476
absorbing	0.00808	0.05013	0.03582	0.00279	0.00230	0.08519	0.04115	0.01627	0.13089	0.00149	0.06886
absorption	0.00294	0.96687	0.00090	0.00149	0.00030	0.00344	0.00226	0.00635	0.00273	0.00013	0.02094
abstract	0.00702	0.01672	0.06565	0.00276	0.00976	0.16267	0.00556	0.00455	0.34607	0.00070	0.03762
abstracted	0.00252	0.00576	0.00683	0.00336	0.00305	0.02635	0.03212	0.00069	0.80137	0.00073	0.00929
abstraction	0.00559	0.05339	0.03549	0.00478	0.00702	0.07004	0.01472	0.00682	0.33814	0.00090	0.06837
absurd	0.02020	0.03057	0.04293	0.00185	0.00296	0.07613	0.00773	0.00307	0.51441	0.00089	0.01601
abu	0.00624	0.01049	0.00987	0.00126	0.00290	0.03715	0.00587	0.00134	0.83683	0.00051	0.01089
abundance	0.00155	0.99613	0.00024	0.00083	0.00024	0.00128	0.00081	0.00366	0.00054	0.00015	0.00374
